	0	1	2	3
7	Jun 9th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18118.html	Minneapolis	Minnesota
8	Jun 3rd 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18056.html	Cincinnati	Ohio
9	Jun 3rd 2014	http://www.profightdb.com/cards/wwe/main-event-18055.html	Cincinnati	Ohio
0	Jun 2nd 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18049.html	Indianapolis	Indiana
1	Jun 2nd 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18048.html	Indianapolis	Indiana
2	Jun 1st 2014	http://www.profightdb.com/cards/wwe/payback-3914-18022.html	Chicago	Illinois
3	May 27th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18009.html	Atlanta	Georgia
4	May 27th 2014	http://www.profightdb.com/cards/wwe/main-event-18008.html	Atlanta	Georgia
5	May 26th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-18007.html	Knoxville	Tennessee
6	May 26th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18006.html	Knoxville	Tennessee
7	May 20th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-18004.html	London	England
8	May 20th 2014	http://www.profightdb.com/cards/wwe/main-event-taping-18003.html	London	England
9	May 19th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-taping-18002.html	London	England
0	May 19th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-18001.html	London	England
1	May 13th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17986.html	Greensboro	North Carolina
2	May 13th 2014	http://www.profightdb.com/cards/wwe/main-event-17985.html	Greensboro	North Carolina
3	May 12th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17984.html	Greenville	South Carolina
4	May 12th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17983.html	Greenville	South Carolina
5	May 6th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17954.html	Buffalo	New York
6	May 6th 2014	http://www.profightdb.com/cards/wwe/main-event-17953.html	Buffalo	New York
7	May 5th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17952.html	Albany	New York
8	May 5th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17951.html	Albany	New York
9	May 4th 2014	http://www.profightdb.com/cards/wwe/extreme-rules-3914-17950.html	East Rutherford	New Jersey
