	0	1	2	3
8	May 17th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-453-15420.html	Springfield	Massachusetts
9	May 16th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-454-13274.html	Danbury	Connecticut
0	May 16th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-453-13273.html	Danbury	Connecticut
1	May 16th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-452-13272.html	Danbury	Connecticut
2	May 16th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-451-13271.html	Danbury	Connecticut
3	May 15th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-915.html	Binghamton	New York
4	May 15th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-914.html	Binghamton	New York
5	May 15th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-913.html	Binghamton	New York
6	May 14th 1995	http://www.profightdb.com/cards/wwf/in-your-house-premiere-40.html	Syracuse	New York
7	Apr 26th 1995	http://www.profightdb.com/cards/wwf/action-zone-28-15456.html	Moline	Illinois
8	Apr 26th 1995	http://www.profightdb.com/cards/wwf/action-zone-27-15455.html	Moline	Illinois
9	Apr 26th 1995	http://www.profightdb.com/cards/wwf/action-zone-26-15454.html	Moline	Illinois
0	Apr 26th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-452-15419.html	Moline	Illinois
1	Apr 26th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-451-15418.html	Moline	Illinois
2	Apr 26th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-450-15417.html	Moline	Illinois
3	Apr 25th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-450-13270.html	Des Moines	Iowa
4	Apr 25th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-449-13269.html	Des Moines	Iowa
5	Apr 25th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-448-13268.html	Des Moines	Iowa
6	Apr 24th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-912.html	Omaha	Nebraska
7	Apr 24th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-911.html	Omaha	Nebraska
8	Apr 24th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-910.html	Omaha	Nebraska
9	Apr 5th 1995	http://www.profightdb.com/cards/wwf/action-zone-25-15453.html	Lowell	Massachusetts
0	Apr 5th 1995	http://www.profightdb.com/cards/wwf/action-zone-24-15452.html	Lowell	Massachusetts
1	Apr 5th 1995	http://www.profightdb.com/cards/wwf/action-zone-23-15451.html	Lowell	Massachusetts
2	Apr 5th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-449-15416.html	Lowell	Massachusetts
3	Apr 5th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-448-15415.html	Lowell	Massachusetts
4	Apr 5th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-447-15414.html	Lowell	Massachusetts
5	Apr 4th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-447-13267.html	Glen Falls	New York
6	Apr 4th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-446-13266.html	Glen Falls	New York
7	Apr 4th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-445-13265.html	Glen Falls	New York
8	Apr 3rd 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-909.html	Poughkeepsie	New York
9	Apr 3rd 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-908.html	Poughkeepsie	New York
0	Apr 3rd 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-907.html	Poughkeepsie	New York
1	Apr 2nd 1995	http://www.profightdb.com/cards/wwf/wrestlemania-xi-39.html	Hartford	Connecticut
2	Mar 19th 1995	http://www.profightdb.com/cards/wwf/msg-show-mar-3995-5146.html	New York	New York
3	Mar 13th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-906.html	Stockton	California
4	Mar 13th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-905.html	Stockton	California
5	Mar 13th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-904.html	Stockton	California
6	Feb 22nd 1995	http://www.profightdb.com/cards/wwf/action-zone-21-15450.html	North Charleston	West Virginia
7	Feb 22nd 1995	http://www.profightdb.com/cards/wwf/action-zone-19-15449.html	North Charleston	West Virginia
8	Feb 22nd 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-445-15411.html	North Charleston	West Virginia
9	Feb 22nd 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-444-15410.html	North Charleston	West Virginia
0	Feb 22nd 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-443-15409.html	North Charleston	West Virginia
1	Feb 21st 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-443-13264.html	Augusta	Georgia
2	Feb 21st 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-442-13263.html	Augusta	Georgia
3	Feb 21st 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-441-13262.html	Augusta	Georgia
4	Feb 20th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-903.html	Macon	Georgia
5	Feb 20th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-902.html	Macon	Georgia
6	Feb 20th 1995	http://www.profightdb.com/cards/wwf/monday-night-raw-901.html	Macon	Georgia
7	Jan 25th 1995	http://www.profightdb.com/cards/wwf/action-zone-18-15448.html	Fort Myers	Florida
8	Jan 25th 1995	http://www.profightdb.com/cards/wwf/action-zone-17-15447.html	Fort Myers	Florida
9	Jan 25th 1995	http://www.profightdb.com/cards/wwf/action-zone-16-15446.html	Fort Myers	Florida
0	Jan 25th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-442-15408.html	Fort Myers	Florida
1	Jan 25th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-441-15407.html	Fort Myers	Florida
2	Jan 25th 1995	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-440-15406.html	Fort Myers	Florida
3	Jan 24th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-440-13261.html	West Palm Beach	Florida
4	Jan 24th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-439-13257.html	West Palm Beach	Florida
5	Jan 24th 1995	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-438-13256.html	West Palm Beach	Florida
