	0	1
15	http://www.profightdb.com/wrestlers/triple-h-193.html	http://www.profightdb.com/wrestlers/chris-jericho-296.html
0	http://www.profightdb.com/wrestlers/kurt-angle-299.html	http://www.profightdb.com/wrestlers/rob-van-dam-338.html
1	http://www.profightdb.com/wrestlers/billy-gunn-158.html	http://www.profightdb.com/wrestlers/john-layfield-207.html
2	http://www.profightdb.com/wrestlers/maven-345.html	http://www.profightdb.com/wrestlers/al-snow-210.html
3	http://www.profightdb.com/wrestlers/booker-t-341.html	http://www.profightdb.com/wrestlers/edge-273.html
4	http://www.profightdb.com/wrestlers/the-undertaker-124.html	http://www.profightdb.com/wrestlers/david-flair-740.html
0	http://www.profightdb.com/wrestlers/sean-morley-270.html	http://www.profightdb.com/wrestlers/ray-traylor-95.html
1	http://www.profightdb.com/wrestlers/lance-storm-327.html	http://www.profightdb.com/wrestlers/fatu-154.html
2	http://www.profightdb.com/wrestlers/curt-hennig-100.html	http://www.profightdb.com/wrestlers/the-pimp-fatha-142.html
3	http://www.profightdb.com/wrestlers/spike-dudley-325.html	http://www.profightdb.com/wrestlers/mike-lockwood-291.html
0	http://www.profightdb.com/wrestlers/jeff-hardy-289.html	http://www.profightdb.com/wrestlers/bully-ray-294.html
1	http://www.profightdb.com/wrestlers/andrew-martin-281.html	http://www.profightdb.com/wrestlers/fatu-154.html
2	http://www.profightdb.com/wrestlers/al-snow-210.html	http://www.profightdb.com/wrestlers/goldust-123.html
3	http://www.profightdb.com/wrestlers/booker-t-341.html	http://www.profightdb.com/wrestlers/edge-273.html
4	http://www.profightdb.com/wrestlers/christian-277.html	http://www.profightdb.com/wrestlers/billy-gunn-158.html
5	http://www.profightdb.com/wrestlers/jazz-344.html	http://www.profightdb.com/wrestlers/lita-312.html
6	http://www.profightdb.com/wrestlers/hulk-hogan-19.html	http://www.profightdb.com/wrestlers/steve-austin-205.html
0	http://www.profightdb.com/wrestlers/hurricane-helms-343.html	http://www.profightdb.com/wrestlers/funaki-267.html
1	http://www.profightdb.com/wrestlers/lance-storm-327.html	http://www.profightdb.com/wrestlers/the-pimp-fatha-142.html
2	http://www.profightdb.com/wrestlers/sean-morley-270.html	http://www.profightdb.com/wrestlers/perry-saturn-307.html
3	http://www.profightdb.com/wrestlers/tajiri-337.html	http://www.profightdb.com/wrestlers/mike-lockwood-291.html
0	http://www.profightdb.com/wrestlers/fatu-154.html	http://www.profightdb.com/wrestlers/curt-hennig-100.html
1	http://www.profightdb.com/wrestlers/jazz-344.html	http://www.profightdb.com/wrestlers/trish-stratus-313.html
2	http://www.profightdb.com/wrestlers/brock-lesnar-346.html	http://www.profightdb.com/wrestlers/mike-lockwood-291.html
3	http://www.profightdb.com/wrestlers/sean-morley-270.html	http://www.profightdb.com/wrestlers/lance-storm-327.html
