	0	1
8	Dec 10th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1745.html
9	Dec 9th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-1744.html
0	Dec 9th 2001	http://www.profightdb.com/cards/wwf/vengeance-3901-130.html
1	Dec 8th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19295.html
2	Dec 4th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1743.html
3	Dec 4th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1742.html
4	Dec 3rd 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1741.html
5	Dec 3rd 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1740.html
6	Dec 2nd 2001	http://www.profightdb.com/cards/wwf/wwf-live-19297.html
7	Dec 2nd 2001	http://www.profightdb.com/cards/wwf/wwf-live-19296.html
8	Dec 1st 2001	http://www.profightdb.com/cards/wwf/wwf-live-19299.html
9	Dec 1st 2001	http://www.profightdb.com/cards/wwf/wwf-live-19298.html
0	Nov 27th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1738.html
1	Nov 27th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1737.html
2	Nov 26th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1736.html
3	Nov 26th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1735.html
4	Nov 25th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19301.html
5	Nov 25th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19300.html
6	Nov 24th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19303.html
7	Nov 24th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19302.html
8	Nov 23rd 2001	http://www.profightdb.com/cards/wwf/wwf-live-19304.html
9	Nov 20th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1734.html
0	Nov 20th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1733.html
1	Nov 19th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1732.html
2	Nov 19th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1731.html
3	Nov 18th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-1730.html
4	Nov 18th 2001	http://www.profightdb.com/cards/wwf/survivor-series-3901-129.html
5	Nov 17th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19305.html
6	Nov 13th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1729.html
7	Nov 13th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1728.html
8	Nov 12th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1727.html
9	Nov 12th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1726.html
0	Nov 11th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19307.html
1	Nov 11th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19306.html
2	Nov 10th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19312.html
3	Nov 10th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19309.html
4	Nov 6th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1725.html
5	Nov 6th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1724.html
6	Nov 5th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1723.html
7	Nov 5th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1722.html
8	Nov 4th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19313.html
9	Nov 3rd 2001	http://www.profightdb.com/cards/wwf/rebellion-3901-128.html
0	Nov 3rd 2001	http://www.profightdb.com/cards/wwf/wwf-live-19314.html
1	Oct 30th 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1721.html
2	Oct 30th 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1720.html
3	Oct 29th 2001	http://www.profightdb.com/cards/wwf/monday-night-raw-1719.html
4	Oct 29th 2001	http://www.profightdb.com/cards/wwf/jakked-taping-1718.html
5	Oct 28th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19316.html
6	Oct 28th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19315.html
7	Oct 27th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19558.html
8	Oct 27th 2001	http://www.profightdb.com/cards/wwf/wwf-live-19557.html
9	Oct 23rd 2001	http://www.profightdb.com/cards/wwf/smackdown-taping-1717.html
0	Oct 23rd 2001	http://www.profightdb.com/cards/wwf/sunday-night-heat-taping-1716.html
